조건판단형태,이름,용도,출력,정규화범위,키워드매칭방식,우선섹션분류,fallback범위,제외검사범위,근거저장단위,판단로직,영향정책,예시본문,결과예시,주의,토글비고,정책_공백무시,정책_단어경계,정책_제외검사
1_1,키워드 + 날짜형식,키워드를 본문에서 찾고 그 다음에 등장하는 날짜 패턴을 추출합니다. 날짜는 YYYY-MM-DD로 정규화합니다.,날짜,문단,"키워드일치 우선, 키워드포함 허용",입찰일정,같은 대섹션 -> 전체본문,같은 문단,매칭 문단,"본문에서 검색키워드 위치 찾기|매치 끝 직후 30자 안쪽을 확인|YYYY-MM-DD, YYYY.MM.DD, 2026년 4월 30일 같은 날짜 패턴 매치|날짜를 YYYY-MM-DD로 정규화",공백 무시|단어 경계,본문: 입찰마감일 2026.04.30 / 키워드: 입찰마감일,2026-04-30,키워드 후 30자 안에 다른 날짜가 먼저 나오면 첫 날짜가 잡힙니다. 짧은 일시 키워드는 오탐 가능성이 큽니다.,,전역,전역,전역
1_2,키워드 + 금액형식,키워드 다음에 나오는 원 단위 금액 표기를 정수로 환산합니다.,정수 원,"문단, 표","키워드일치 우선, 키워드포함 허용",금액정보,표 -> 같은 대섹션 -> 전체본문,같은 문단 또는 같은 표,매칭 문단/표 셀,"본문에서 검색키워드 위치 찾기|매치 끝 직후 30자 안쪽을 확인|콤마 포함 숫자, 원, 억 같은 금액 패턴 매치|금액을 원 단위 정수로 변환",공백 무시|단어 경계,"본문: 추정가격: 금 1,234,567,890원 / 키워드: 추정가격",1234567890,6자리 이상 숫자를 금액으로 봅니다. 표 안의 금액은 6_1이 더 안전합니다.,,전역,전역,전역
1_3,키워드 + 전화번호,키워드 다음의 전화번호를 추출해 표준 전화번호 형식으로 정리합니다.,전화번호,문단,"키워드일치 우선, 키워드포함 허용",문의처,같은 대섹션 -> 전체본문,같은 문단,매칭 문단,키워드 매치|직후 30자 안쪽 확인|전화번호 패턴 매치|전화번호 표준 형식으로 정규화,공백 무시|단어 경계,본문: 담당자 02-1234-5678 / 키워드: 담당자,02-1234-5678,대표번호와 직통번호가 같이 있으면 검색키워드를 구체적으로 써야 합니다.,,전역,전역,전역
1_4,키워드 + 비율형식,키워드 자체 또는 직후 30자에서 퍼센트나 한국식 분수 표현을 추출합니다.,N%,문단,"키워드포함, 조사 포함 허용","공동계약, 낙찰방법",같은 대섹션 -> 전체본문,같은 문단,매칭 문단,키워드 자체 영역에서 퍼센트 또는 N분의 M 패턴 확인|매치 끝 직후 30자에서 다시 확인|가까운 매치를 채택|N분의 M은 M/N*100으로 환산,공백 무시|단어 경계 강제 OFF,본문: 공사금액의 100분의 49이상 / 키워드: 공사금액의,49%,한국어 조사를 흡수하기 위해 단어 경계 검사는 코드에서 꺼집니다. 짧은 키워드는 오탐 위험이 큽니다.,이 타입은 코드 정책이 고정되어 개별 토글을 사용하지 않습니다.,고정,고정,고정
2_1,키워드 다음 한 의미 단위,키워드 바로 뒤의 한 줄 또는 한 의미 단위 텍스트를 그대로 가져옵니다.,텍스트,문단,"키워드일치 우선, 키워드포함 허용","금액정보, 입찰참가자격, 문의처",같은 대섹션 -> 전체본문,같은 문단,매칭 문단,"키워드 매치|매치 끝부터 다음 줄, 문단, 표 셀 경계까지 텍스트 추출|앞쪽 콜론과 공백 정리",공백 무시|단어 경계,본문: 공사명: 동탄2 주차상업복합건물 전기공사 / 키워드: 공사명,동탄2 주차상업복합건물 전기공사,"공사명, 건명처럼 뒤 텍스트가 답일 때 씁니다. 금액, 날짜에는 쓰지 않는 편이 안전합니다.",,전역,전역,전역
2_2,키워드 + 와일드카드,검색키워드 안의 * 자리에 최대 gap 글자를 허용해 매칭된 구간을 반환합니다.,매칭 텍스트,문단,키워드 앞뒤 와일드카드,"공동계약, 입찰참가자격",같은 대섹션 -> 전체본문,매칭 구간 포함 같은 문단,매칭 문단,검색키워드 자체를 본문에 매치|* 자리에 기본 15자 이내 글자 허용|매칭된 전체 구간 반환,정책 미적용,본문: 대표사 포함 5개 업체 / 키워드: 대표사 포함 *개 업체,대표사 포함 5개 업체,부분매칭이라 오탐 가능성이 큽니다. 제외키워드와 같이 쓰는 것이 좋습니다.,이 타입은 의도적 부분매칭이라 개별 정책 토글을 사용하지 않습니다.,고정,고정,고정
2_3,키워드 포함 문단 전체,키워드가 들어있는 문단이나 블록 전체를 그대로 반환합니다.,문단 텍스트,"문단, 대섹션",키워드포함,"입찰참가자격, 낙찰방법, 공동계약",같은 대섹션 -> 전체본문,같은 문단 또는 같은 대섹션,문단 또는 대섹션,키워드 매치|매치 위치가 속한 블록 확인|블록 전체 텍스트 반환,공백 무시|단어 경계,"본문: 참가자격: 토목공사업 면허 보유, 시공능력평가액 50억 이상 / 키워드: 참가자격",참가자격 문단 전체,근거 보존과 긴 조건 확인에 적합합니다. 문단 경계가 애매하면 너무 길게 잡힐 수 있습니다.,,전역,전역,전역
3_1,존재 → 고정값,키워드가 존재하면 고정값을 반환합니다. 체크박스성 값이나 분류 라벨에 씁니다.,고정값,"대섹션, 문단","키워드일치 우선, 키워드포함 허용","공동계약, 입찰참가자격, 안전보건",전체본문,같은 대섹션,매칭 문단,검색키워드 존재 여부 확인|제외키워드 검사|통과하면 고정값 반환|고정값이 비어 있으면 true 반환,공백 무시|단어 경계|exclude,본문: 상호시장진출 허용 / 키워드: 상호시장진출 / 고정값: 1,1,허용하지 않음 같은 반대 문맥은 제외키워드로 반드시 막아야 합니다.,,전역,전역,전역
3_2,키워드값,검색키워드 중 처음 맞은 키워드 자체를 결과값으로 반환합니다. 별칭 그룹을 쓰면 표준값으로 바꿉니다.,매칭 키워드 또는 별칭 라벨,"대섹션, 문단","키워드일치, 키워드포함, 별칭후보","낙찰방법, 공동계약, 계약방식",전체본문,같은 대섹션,매칭 문단,검색키워드 배열을 순서대로 확인|처음 매칭된 키워드 채택|검색키워드가 (라벨:후보1/후보2) 형식이면 후보 매칭 시 라벨 반환|matched_keyword에는 실제 매칭 후보 보존,공백 무시|단어 경계|exclude,본문: 분담이행 방식 / 키워드: (분담:분담/분담이행/분담협정),분담,고정값은 무시됩니다. 검색키워드 순서가 우선순위입니다. 긴 후보를 앞에 두는 편이 안전합니다.,,전역,전역,전역
4_1,문단 ∩ 업종 마스터,키워드가 들어있는 첫 문단에서 종목 마스터와 일치하는 값을 찾습니다.,종목 배열,문단,키워드포함 + 마스터 교집합,입찰참가자격,같은 대섹션,같은 문단,매칭 문단,키워드 포함 첫 문단 추출|문단 안에서 종목 마스터 검색|일치한 종목을 배열로 반환|중복 제거,공백 무시|단어 경계,본문: 전기공사업 등록업체 / 키워드: 등록업체,전기,마스터에 없는 종목명은 잡지 못합니다. 여러 문단에 나뉜 자격요건은 4_3이 더 맞습니다.,,전역,전역,전역
4_2,문단 ∩ 시군구 마스터,키워드 문단 안에서 지역 마스터와 일치하는 지역명을 찾고 정규화합니다.,지역 배열,"문단, 대섹션",키워드포함 + 지역마스터 교집합,"지역제한, 입찰참가자격",같은 대섹션,같은 문단 또는 같은 대섹션,매칭 문단,키워드 포함 문단 추출|문단 안에서 지역 마스터 검색|광역/시군구 기준으로 정규화|일치 지역 반환,공백 무시|단어 경계,본문: 구리시 소재 업체 / 키워드: 소재,"경기,구리시",지역디비 기준입니다. 인천 옹진군 제외 같은 예외 문구는 검토필요로 보여야 합니다.,,전역,전역,전역
4_3,다중 문단 ∩ 업종 마스터,키워드가 들어있는 모든 문단에서 종목 마스터 값을 누적해 찾습니다.,종목 배열,대섹션,키워드포함 + 마스터 교집합,입찰참가자격,전체본문,같은 대섹션,매칭 문단 목록,검색키워드가 매치된 모든 문단 수집|각 문단에서 종목 마스터 검색|전체 결과를 평탄화|중복 제거 후 배열 반환,공백 무시|단어 경계|다중 블록,본문: 1) 전기공사업 면허 2) 소방시설공사업 면허 / 키워드: 면허,전기/전문소방,자격요건이 여러 문단에 나뉘면 4_3을 씁니다. 종목 후처리와 반드시 연결됩니다.,,전역,전역,전역
5_1,검색 종료점,붙임 같은 키워드 이후의 함정값을 모든 매처 검색 대상에서 제외합니다.,제어용,전체본문,"키워드일치 우선, 키워드포함 허용",,없음,전체본문,종료점 위치,검색 종료 키워드 위치 찾기|가장 먼저 나온 종료점을 채택|그 위치 이후 본문은 모든 extractor에서 제외|값은 추출하지 않음,공백 무시|단어 경계,"본문: 붙임. 이하 산출내역서 9,999,999,999원 / 키워드: 붙임",붙임 이후 무시,종료점이 너무 빠르면 필요한 본문까지 잘립니다. 신중히 관리해야 합니다.,,전역,전역,전역
6_1,표파싱,공고문 표에서 검색키워드와 일치하는 라벨이나 헤더를 찾고 가로형/세로형 구조를 자동 판정해 값을 추출합니다.,정수 원 또는 표 값,표,"키워드일치, 키워드포함, 헤더/라벨 매칭","금액정보, 입찰일정",없음,같은 표,표번호+행열,표 후보에서 검색키워드 라벨 찾기|같은 행 오른쪽 셀 확인|같은 열 아래 셀 확인|헤더 행 아래 값 확인|여러 후보면 검토필요 처리,공백 무시|단어 경계,"세로형: 추정가격 | 100,000,000원 / 가로형: 항목 | 추정가격 | 기초금액 / 금액 | 100,000,000 | 110,000,000",추정가격=100000000,가로표와 세로표를 6_1 하나에서 처리합니다. 복합형이나 깨진 표는 무리하게 확정하지 말고 검토필요로 남깁니다.,,전역,전역,전역
7_1,마스터 키워드 뭉치,"공고확인, 특수실적, 특수실적_공통 같은 설정 데이터의 검색키워드를 순회해 결과값을 찾습니다.",결과값 목록,"대섹션, 전체본문","키워드일치, 키워드포함, 키워드 앞뒤 와일드카드","공동계약, 입찰참가자격, 낙찰방법, 기타사항",전체본문,매칭 문단 또는 같은 대섹션,매칭 문단 목록,참조마스터 데이터 로드|입찰방식 등 사전 필터로 후보 행 축소|각 행의 검색키워드 OR 매칭|제외키워드 검사|통과한 행의 결과값을 / 로 누적,정규화 매치|와일드카드|사전 필터,본문: 사회적기업 확인서 제출 / 참조마스터: 특수실적_공통,사회적기업,검색키워드가 없는 행은 자동 파싱하지 않고 사람이 입력합니다. 결과값 중복은 데이터 오류입니다.,,전역,전역,전역
